,Rent,Rental_Type,Area,Elevator,Subway,Balcony,Floor_Type,Electricity,Heating,Renovation,Bedroom_num,Living_Room_num,Bathroom_num,Toward,Location,Maintenance_Date,Facility_Washing_Machine,Facility_Air_Conditioner,Facility_Wardrobe,Facility_TV,Facility_Refrigerator,Facility_Water_Heater,Facility_Bed,Facility_Natural_Gas,Facility_num
72,1770,1,34.67,1,0,0,1,1,0,1,1,1,1,19,697,2024/11/10,1,1,1,1,1,1,0,0,22
73,1150,1,40,1,0,0,1,0,0,1,1,1,1,19,410,2024/11/14,1,1,1,1,1,1,0,1,23
74,2800,1,105,1,1,0,3,0,0,1,4,2,2,19,50,2024/11/14,0,1,0,0,0,1,0,0,6
75,1400,1,44.44,1,1,0,1,0,0,1,1,1,1,19,611,2024/11/16,1,1,1,1,1,1,0,0,19
76,2400,1,90,1,0,0,1,0,0,0,2,2,1,29,410,2024/11/15,1,1,1,1,1,1,0,1,23
77,3200,1,95,1,1,0,3,0,0,1,3,2,2,19,1724,2024/11/15,1,1,1,1,1,1,0,1,26
78,2100,1,55,1,0,0,1,1,0,1,2,1,1,19,699,2024/11/16,0,1,0,0,0,1,0,0,9
79,2500,1,157.52,1,1,0,1,0,0,1,4,2,2,19,259,2024/11/13,1,1,1,1,1,1,1,1,25
80,3000,1,105,1,1,0,2,0,0,1,4,2,2,19,51,2024/11/12,0,0,1,0,0,0,1,1,8
81,1200,1,65,0,0,0,1,0,0,0,3,1,1,19,1794,2024/11/15,1,1,1,0,1,1,1,1,22
82,3000,1,103,1,0,0,2,0,0,1,3,2,2,14,1886,2024/11/14,1,1,1,0,1,1,1,1,22
83,3420,1,143,1,1,0,3,0,0,1,3,2,2,19,259,2024/11/14,1,1,1,1,1,1,0,1,23
84,2800,1,223,0,0,0,3,0,0,1,5,2,4,19,1610,2024/11/13,0,0,0,0,0,1,0,0,3
85,3330,1,115,1,1,0,1,0,0,1,3,2,2,19,33,2024/11/12,0,0,0,0,0,0,0,1,3
86,4400,1,133.62,0,0,0,2,0,0,1,4,2,2,19,1389,2024/11/15,1,1,1,0,1,1,1,1,25
87,1150,1,40,1,0,0,1,0,0,1,1,1,1,19,410,2024/11/14,1,1,1,1,1,1,0,1,23
88,1800,1,89,1,0,0,3,0,0,1,3,2,2,19,250,2024/11/14,1,1,1,0,1,1,0,1,20
89,1770,1,34.67,1,0,0,1,1,0,1,1,1,1,19,697,2024/11/10,1,1,1,1,1,1,0,0,22
90,2900,1,98,1,0,0,3,0,0,1,3,2,2,19,1814,2024/11/12,0,1,0,0,0,1,0,1,10
91,2400,1,97,1,1,0,2,0,0,1,3,2,2,19,1187,2024/11/14,0,1,0,0,0,1,0,0,6
92,3000,1,103,1,0,0,2,0,0,1,3,2,2,14,1886,2024/11/14,1,1,1,0,1,1,1,1,22
93,1500,1,83,1,0,0,3,0,0,0,2,1,2,19,1886,2024/11/13,1,1,0,0,0,1,0,0,10
94,2700,1,143,1,0,0,2,0,0,1,4,1,2,19,1121,2024/11/13,0,1,1,0,0,1,0,0,9
95,3300,1,105,1,1,0,2,0,0,1,4,2,2,19,51,2024/11/12,1,1,1,0,1,1,1,1,22
96,2600,1,105,1,1,0,2,0,0,1,4,2,2,19,50,2024/11/13,1,1,1,0,1,1,1,1,25
97,3000,1,98,1,0,0,1,0,0,1,3,2,2,19,1814,2024/11/15,1,1,1,0,1,1,1,0,21
98,3000,1,88.83,1,0,0,1,0,0,1,3,2,1,19,1389,2024/11/12,1,1,1,0,1,1,1,1,25
99,2200,1,89,1,1,0,1,0,0,1,3,2,2,20,1675,2024/11/15,1,1,1,1,1,1,1,1,28
100,2000,1,80,0,0,0,3,0,0,0,2,1,1,19,1048,2024/11/11,0,1,0,0,0,1,0,0,6
101,2100,1,38,1,0,0,2,1,0,1,1,1,1,26,697,2024/11/10,1,1,1,1,1,1,1,0,21
102,2500,1,89,1,0,0,2,0,0,1,2,2,1,19,1770,2024/11/13,1,1,1,1,1,1,1,1,28
103,2500,1,89,1,0,0,2,0,0,1,2,2,1,19,1770,2024/11/13,1,1,1,1,1,1,1,1,28
104,2500,1,95,1,1,0,1,0,0,1,3,2,2,19,1724,2024/11/12,0,0,0,0,0,1,0,0,3
105,3000,1,105,1,1,0,3,0,0,1,4,2,2,19,51,2024/11/16,1,1,1,0,1,1,1,1,22
106,2500,1,114.9,1,0,0,1,0,0,0,3,2,2,26,410,2024/11/14,1,1,1,0,1,1,1,1,22
107,2500,1,89,1,0,0,1,0,0,1,3,2,1,19,1187,2024/11/14,1,1,1,1,1,1,1,1,25
