,Rent,Rental_Type,Area,Elevator,Subway,Balcony,Floor_Type,Electricity,Heating,Renovation,Bedroom_num,Living_Room_num,Bathroom_num,Toward,Location,Maintenance_Date,Facility_Washing_Machine,Facility_Air_Conditioner,Facility_Wardrobe,Facility_TV,Facility_Refrigerator,Facility_Water_Heater,Facility_Bed,Facility_Natural_Gas,Facility_num
72,2730,0,15.3,0,1,1,2,0,0,1,4,1,2,21,3092,2024/11/14,1,1,1,0,1,0,1,1,21
73,2730,0,7.4,1,1,1,3,0,0,1,3,1,1,21,317,2024/11/14,1,1,1,0,1,1,1,1,25
74,13700,1,131.13,1,1,0,2,0,0,1,3,2,2,21,2536,2024/11/11,1,1,1,0,1,1,1,1,25
75,7000,1,51.73,1,1,0,2,1,0,1,1,1,1,21,2861,2024/11/6,1,1,1,1,1,1,1,0,27
76,4600,1,60.61,1,1,0,2,1,0,0,1,1,1,21,633,2024/11/13,1,1,1,1,1,1,0,0,19
77,28500,1,166.18,1,1,0,3,0,0,1,3,2,2,21,324,2024/11/12,1,1,1,1,1,1,1,1,28
78,3490,0,14,1,1,0,1,0,0,1,4,1,2,21,3092,2024/11/11,1,1,1,0,1,1,1,1,25
79,15000,1,138.18,1,1,0,2,0,0,0,3,2,2,23,369,2024/11/14,1,1,1,1,1,1,0,1,26
80,4300,1,34.16,0,1,0,2,0,0,0,1,1,1,21,1069,2024/11/13,1,1,1,1,1,1,1,1,25
81,30000,1,188.97,1,1,0,3,0,1,1,4,2,2,21,1072,2024/11/10,1,1,1,1,1,1,1,1,28
82,12800,1,137.87,1,1,0,3,0,0,1,4,2,2,21,665,2024/11/11,1,1,1,0,1,1,0,1,20
83,12000,1,144.89,1,0,0,3,0,0,0,3,2,2,21,554,2024/11/9,1,1,1,1,1,1,1,0,21
84,3200,1,51.5,0,0,0,3,0,0,0,1,2,1,21,1862,2024/11/8,1,1,0,0,1,1,0,0,13
85,8200,1,128.65,0,0,0,3,0,0,1,3,2,2,21,1438,2024/11/10,1,1,1,0,1,1,1,1,22
86,13500,1,78.67,1,1,0,3,0,0,1,1,1,1,21,3139,2024/11/9,1,1,1,0,1,1,1,0,21
87,5800,1,35.46,0,1,0,1,0,0,1,1,1,1,21,1317,2024/11/14,1,1,1,0,1,1,1,1,22
88,3160,0,9.6,1,1,1,3,0,0,1,3,1,1,21,317,2024/11/14,1,1,1,0,1,1,1,1,25
