,Rent,Rental_Type,Area,Elevator,Subway,Balcony,Floor_Type,Electricity,Heating,Renovation,Bedroom_num,Living_Room_num,Bathroom_num,Toward,Location,Maintenance_Date,Facility_Washing_Machine,Facility_Air_Conditioner,Facility_Wardrobe,Facility_TV,Facility_Refrigerator,Facility_Water_Heater,Facility_Bed,Facility_Natural_Gas,Facility_num
72,1599,0,12,1,1,0,3,0,1,1,0,0,0,15,262,2024/11/10,1,1,1,1,1,1,1,1,31
73,3500,1,62.34,1,1,0,2,0,1,0,1,1,1,26,1119,2024/11/7,1,1,1,0,1,1,1,1,25
74,2099,0,16,1,1,1,1,0,1,0,0,0,0,15,662,2024/11/10,1,1,1,1,1,1,1,1,31
75,5000,1,62.27,0,1,0,3,0,1,1,2,1,1,18,970,2024/11/10,1,1,1,1,1,1,1,1,28
76,5500,1,117,1,0,0,1,0,1,1,3,1,1,16,279,2024/11/6,1,1,1,1,1,1,1,1,28
77,2290,0,10.2,0,1,0,3,0,0,1,0,0,0,23,639,2024/11/10,1,1,1,0,1,1,1,1,25
78,2100,1,102.03,0,0,0,3,0,1,1,3,2,2,16,217,2024/11/9,1,1,1,1,1,1,1,1,28
79,12000,1,150,1,1,0,2,0,1,1,3,2,2,16,294,2024/11/8,1,1,1,1,1,1,1,0,24
80,11500,1,129.73,1,1,0,1,0,1,1,3,2,2,10,932,2024/11/9,1,1,1,1,1,1,1,1,28
81,4200,1,94.05,1,0,0,3,0,1,1,3,1,1,16,116,2024/11/10,1,1,1,1,1,1,1,1,28
82,50000,1,171.25,1,1,0,2,0,1,1,3,2,2,16,102,2024/11/8,1,1,1,1,1,1,1,1,28
83,5100,1,69.1,0,0,0,2,0,1,1,2,1,1,6,1247,2024/11/7,1,1,0,0,1,1,1,1,22
84,5000,1,65.6,1,1,0,2,0,0,1,1,0,1,25,671,2024/11/9,1,1,1,1,1,1,1,0,21
85,3000,0,20,0,1,1,1,0,0,1,0,0,0,15,583,2024/11/10,1,1,1,0,1,1,1,1,28
86,6700,1,89,1,0,0,2,0,0,1,2,1,2,16,1202,2024/11/9,1,1,1,0,1,1,1,1,25
87,35000,1,224,0,1,0,3,0,1,1,4,2,1,18,673,2024/11/6,1,1,1,1,1,1,1,1,28
88,6300,1,64.95,0,1,0,2,0,1,1,2,1,1,16,1249,2024/11/10,1,1,0,0,0,1,1,1,19
89,16500,1,304.55,1,0,0,1,0,0,1,4,2,4,15,1288,2024/11/9,1,1,0,0,1,0,0,1,13
90,3360,0,16.23,1,1,0,1,0,1,1,0,0,0,0,1095,2024/11/9,1,1,1,0,1,1,1,1,28
91,1800,0,18,0,0,1,2,0,1,1,0,0,0,15,552,2024/10/23,1,1,1,1,1,1,1,1,31
92,2690,0,12.5,0,1,0,2,0,1,1,0,0,0,14,975,2024/11/7,1,1,1,0,1,1,1,1,28
93,1998,0,5.5,1,1,0,2,0,1,1,0,0,0,9,1252,2024/11/10,1,1,1,0,1,1,1,1,28
94,2700,1,60.37,0,0,0,3,0,1,0,2,1,1,16,172,2024/11/9,0,1,0,0,0,1,1,1,15
95,5600,1,59,1,1,0,3,0,1,1,1,1,1,15,468,2024/11/10,1,1,1,1,1,1,1,1,31
96,5600,1,60,0,0,0,3,0,1,0,2,1,1,16,1085,2024/11/8,1,1,1,1,1,1,1,1,28
97,2660,0,15,1,1,1,2,0,1,0,0,0,0,14,72,2024/10/25,1,1,1,1,1,1,1,1,31
98,5567,1,76.68,1,1,0,2,0,1,1,2,1,1,15,976,2024/11/10,1,1,1,1,1,1,1,1,31
99,2700,0,20,0,1,0,2,0,0,1,0,0,0,15,269,2024/11/8,1,1,1,0,0,1,1,1,22
100,1400,0,15,0,1,0,2,0,0,1,0,0,0,0,269,2024/11/8,1,1,1,0,1,1,1,1,28
101,3125,0,22,1,1,0,2,0,1,1,0,0,0,15,52,2024/11/10,1,1,1,1,1,1,1,1,31
102,2230,0,7.7,0,1,0,2,0,1,1,0,0,0,14,721,2024/11/7,1,1,1,1,1,1,1,1,31
103,6730,1,48.26,1,1,0,3,0,1,1,1,1,1,0,75,2024/11/10,1,1,1,0,1,1,1,1,28
104,13800,1,147,1,1,0,1,0,1,1,3,2,2,15,249,2024/11/8,1,1,1,1,1,0,1,1,24
105,27000,1,190.16,1,1,0,2,0,0,0,4,2,3,16,40,2024/11/7,1,1,1,1,1,1,1,1,28
106,5930,1,65.18,1,0,0,3,0,1,1,2,1,1,23,856,2024/11/10,1,1,1,1,1,1,1,1,31
107,4200,1,60,0,0,0,2,0,1,1,2,1,1,16,346,2024/11/7,1,1,1,1,1,1,1,1,31
108,4890,0,20.4,1,1,1,1,0,1,1,0,0,0,15,201,2024/11/7,1,1,1,0,1,1,1,1,28
109,6200,1,82,1,0,0,2,0,1,1,2,1,1,15,1140,2024/11/9,1,1,1,0,1,1,1,1,25
110,4560,0,15.93,1,0,1,3,0,1,1,0,0,0,23,293,2024/11/10,1,1,1,0,1,1,1,1,28
111,11000,1,121.58,1,0,0,1,0,1,1,3,1,2,15,374,2024/10/26,1,1,1,1,1,1,1,1,28
112,7300,1,119.1,1,0,0,3,0,1,1,3,2,2,16,1011,2024/11/8,1,1,1,1,1,1,1,1,28
113,150000,1,466,1,0,0,1,0,1,1,5,2,5,16,773,2024/11/9,1,1,1,1,0,1,1,1,25
114,2990,0,12.6,0,1,1,3,0,1,1,0,0,0,15,15,2024/11/7,1,1,1,0,1,1,1,1,28
115,3200,0,35,1,0,0,2,0,1,1,0,0,0,15,95,2024/11/10,1,1,1,1,1,1,1,1,31
116,14000,1,167,1,0,0,3,0,1,1,3,2,2,16,1141,2024/11/9,1,1,1,1,1,1,1,1,31
117,5990,1,59,0,0,0,3,0,1,1,2,1,1,15,1001,2024/11/7,1,1,1,0,1,1,1,1,28
118,3300,0,34.88,1,0,1,3,0,1,1,0,0,0,15,95,2024/11/10,1,1,1,0,1,1,1,1,28
119,17000,1,304.02,0,0,0,1,0,0,1,5,2,3,16,748,2024/11/7,1,1,0,0,1,1,0,1,23
120,3762,1,59,0,0,0,2,0,1,1,1,1,1,15,1152,2024/11/10,1,1,1,1,1,1,1,1,31
121,2160,0,8.9,0,0,0,1,0,0,1,0,0,0,14,303,2024/11/9,1,1,1,0,1,1,1,1,25
122,12000,1,187,1,1,0,2,0,1,1,4,1,2,16,997,2024/11/8,1,1,1,0,1,1,1,0,18
123,4360,0,21.9,1,0,1,2,0,1,1,0,0,0,10,203,2024/11/8,1,1,1,1,1,0,1,1,27
124,2430,0,14.4,0,0,0,2,0,1,1,0,0,0,15,312,2024/11/10,1,1,1,0,1,1,1,1,28
125,40000,1,461,0,0,0,1,0,0,1,4,1,3,18,1173,2024/11/4,1,1,1,1,1,1,1,0,24
126,1639,0,20.5,0,1,0,2,0,0,1,0,0,0,14,890,2024/11/10,1,1,1,0,1,1,1,1,25
127,16000,1,172.1,1,0,0,1,0,1,1,4,2,2,16,1292,2024/10/30,1,1,1,0,1,1,1,1,25
128,3990,0,14,1,0,0,3,0,0,1,0,0,0,15,1203,2024/11/9,1,1,1,0,1,1,1,1,25
129,3490,1,63.69,1,0,0,1,0,1,1,2,1,1,15,600,2024/11/10,1,1,1,1,1,1,1,1,31
130,1600,1,90.99,0,0,0,3,0,1,0,3,2,1,16,1008,2024/11/8,1,1,1,1,1,1,1,1,28
