,Rent,Rental_Type,Area,Elevator,Subway,Balcony,Floor_Type,Electricity,Heating,Renovation,Bedroom_num,Living_Room_num,Bathroom_num,Toward,Location,Maintenance_Date,Facility_Washing_Machine,Facility_Air_Conditioner,Facility_Wardrobe,Facility_TV,Facility_Refrigerator,Facility_Water_Heater,Facility_Bed,Facility_Natural_Gas,Facility_num
220,599,0,20,1,0,0,2,0,1,1,3,1,2,27,948,2024/11/29,1,1,1,0,0,0,1,0,14
221,800,0,25,1,0,0,3,0,1,1,4,0,1,43,202,2024/11/13,1,1,1,0,0,1,1,1,25
222,700,0,22,1,0,1,1,0,1,1,5,1,3,27,1321,2024/11/21,0,1,1,0,0,0,1,0,13
223,510,0,20,1,0,0,3,0,1,0,5,1,1,39,1321,2024/11/19,0,0,1,0,0,0,1,0,10
224,510,0,13,1,0,1,3,0,1,0,5,1,1,39,1321,2024/11/19,0,0,1,0,0,0,1,0,10
225,510,0,15,0,1,0,3,0,1,1,3,1,1,27,917,2024/11/26,1,1,1,1,1,1,1,1,31
226,850,0,23.61,1,1,0,1,0,1,1,3,0,3,27,920,2024/12/5,1,1,1,0,1,1,1,0,21
227,650,0,21,0,0,0,2,0,1,1,3,2,2,27,1820,2024/11/29,1,1,1,1,1,1,1,1,31
228,750,0,30,1,1,0,3,0,1,1,3,1,2,27,1849,2024/11/30,1,1,1,1,1,1,1,1,31
229,550,0,16,1,0,1,2,0,1,1,5,1,1,27,1838,2024/11/26,1,1,1,1,1,1,1,1,31
230,900,0,13,1,1,0,2,0,1,1,4,1,2,25,1819,2024/11/14,1,1,1,0,0,1,1,1,25
231,580,0,8,1,0,0,1,0,1,0,5,0,2,27,1689,2024/11/26,1,1,1,1,1,1,1,1,31
232,980,0,15,1,0,0,1,0,1,0,5,0,2,27,1689,2024/11/26,1,1,1,1,1,1,1,1,31
233,670,0,12,1,0,0,1,0,1,0,5,0,2,27,1689,2024/11/26,1,1,1,1,1,1,1,1,31
234,650,0,10,1,0,1,1,0,1,0,5,0,2,27,1689,2024/11/26,1,1,1,1,1,1,1,1,31
235,1100,0,30,1,0,0,2,0,1,1,5,1,1,27,1664,2024/12/2,0,1,1,0,0,0,1,0,10
236,900,0,25,1,0,1,2,0,1,0,5,0,3,27,1296,2024/11/19,1,1,1,0,0,0,1,1,21
237,950,0,20,1,1,0,2,0,1,1,5,1,2,27,1296,2024/11/10,1,1,1,1,1,1,1,1,31
238,550,0,18,1,1,1,2,0,1,1,5,1,2,27,1296,2024/11/18,1,1,1,1,1,1,1,1,31
239,800,0,20,1,1,1,2,0,1,1,5,0,2,27,1296,2024/11/10,1,1,1,1,1,1,1,1,31
240,750,0,13,1,0,1,2,0,1,1,5,0,2,27,1296,2024/11/15,1,1,1,0,0,1,1,0,21
241,850,0,19,1,1,1,2,0,1,1,5,1,2,27,1296,2024/11/10,1,1,1,1,1,1,1,1,31
242,550,0,20,1,1,1,2,0,1,1,5,0,2,27,1296,2024/11/23,1,1,1,1,1,1,1,1,31
243,1450,0,28,1,1,1,2,0,1,1,5,0,2,27,1296,2024/11/10,1,1,1,1,1,1,1,1,31
244,950,0,24,0,0,0,2,0,1,1,4,1,3,27,1291,2024/11/10,1,1,1,0,0,1,1,0,21
245,1050,0,20,0,0,0,2,0,1,1,4,1,3,27,1291,2024/11/10,1,0,1,0,0,1,1,0,18
246,510,0,17,0,0,0,1,0,1,1,5,1,3,25,1291,2024/11/10,1,1,1,0,0,1,1,0,21
247,800,0,28,0,1,1,2,0,1,1,5,1,2,27,1289,2024/11/30,0,1,1,0,0,0,1,0,10
248,1000,0,16,1,0,1,1,0,1,0,4,0,1,27,1282,2024/11/15,1,1,1,0,0,1,1,0,21
249,700,0,20,1,0,0,3,0,1,1,5,0,2,27,1282,2024/11/10,1,1,1,1,1,1,1,1,31
250,800,0,25,1,1,0,1,0,1,1,5,1,2,27,1283,2024/11/20,1,1,1,0,0,1,1,0,21
251,900,0,17,1,0,0,1,0,1,1,5,0,2,0,1276,2024/11/10,1,1,1,0,1,1,1,1,28
252,550,0,15,1,0,0,1,0,1,1,5,0,2,25,1286,2024/11/6,1,1,1,0,0,1,1,1,25
253,700,0,29,1,0,1,1,0,1,1,5,0,2,27,1286,2024/11/6,1,1,1,0,0,1,1,1,25
254,800,0,20,1,1,0,2,0,1,1,4,1,1,0,1095,2024/11/30,1,1,1,1,1,1,1,1,31
255,850,0,19,1,0,0,2,0,1,1,5,0,2,25,1095,2024/11/10,1,1,1,0,0,1,1,0,21
256,1100,0,35,1,0,0,3,0,1,1,3,1,2,27,685,2024/11/28,1,1,1,1,1,1,1,1,31
257,700,0,22,0,1,1,2,0,1,1,3,1,2,27,685,2024/11/28,0,1,1,0,0,0,1,0,13
258,501,0,15,1,0,0,3,0,1,1,4,0,1,27,1301,2024/12/2,1,1,1,1,1,1,1,1,31
259,900,0,17.99,1,0,0,2,0,1,1,3,1,1,27,1298,2024/11/14,1,1,1,0,0,1,1,1,25
260,1050,0,21.5,1,0,1,3,0,1,1,4,1,1,25,1298,2024/11/14,1,1,1,0,0,1,1,1,25
261,850,0,20,1,0,0,1,0,1,1,5,0,2,27,1298,2024/11/21,1,1,1,0,0,1,1,0,21
262,760,0,14,1,0,0,2,0,1,1,5,0,1,27,439,2024/11/27,1,1,1,0,0,1,1,1,19
263,800,0,20,1,0,0,3,0,1,1,3,1,1,27,436,2024/11/30,1,1,1,1,1,1,1,1,31
264,750,0,25,1,0,0,3,0,1,1,3,1,1,27,436,2024/11/30,1,1,1,1,1,1,1,1,31
265,850,0,21,1,0,1,2,0,1,1,3,2,2,27,436,2024/12/1,1,1,1,1,1,1,1,1,31
266,650,0,19,1,1,0,3,0,1,1,5,1,2,27,789,2024/11/12,0,1,1,0,0,0,1,0,13
267,1350,0,22,1,1,0,1,0,1,1,4,1,2,27,410,2024/11/28,1,1,1,0,0,1,1,0,21
268,1150,0,28,1,1,0,1,0,1,1,4,1,3,27,412,2024/11/10,1,1,1,0,0,1,1,0,21
269,1250,0,25,0,0,0,1,0,1,1,5,0,3,27,409,2024/11/30,1,1,1,0,0,1,1,1,25
270,780,0,20,0,0,0,3,0,1,1,5,0,2,27,409,2024/11/10,1,1,1,1,1,1,1,1,31
271,600,0,15,0,1,0,2,0,1,1,5,0,1,27,963,2024/11/28,0,1,1,0,0,0,1,0,7
272,1100,0,26.14,0,1,0,1,0,1,1,3,0,3,27,1014,2024/11/29,1,1,1,0,1,1,1,0,21
273,500,0,15,1,1,0,3,0,1,1,4,0,1,27,19,2024/11/6,0,1,1,0,0,0,1,1,17
274,550,0,20,0,1,0,1,0,1,1,5,0,2,25,19,2024/11/17,0,1,1,0,0,0,1,1,17
275,550,0,15,0,1,0,1,0,1,1,5,0,2,25,19,2024/11/17,0,1,1,0,0,0,1,1,17
276,550,0,18,0,1,0,1,0,1,1,5,0,2,25,19,2024/11/17,0,1,1,0,0,0,1,1,17
277,550,0,15,0,1,0,1,0,1,1,5,0,2,25,19,2024/11/6,0,1,1,0,0,0,1,1,17
278,850,0,20,0,1,0,2,0,1,1,5,0,2,25,19,2024/11/6,0,1,1,0,0,0,1,1,17
279,850,0,35,0,1,1,2,0,1,1,5,1,2,27,19,2024/11/6,0,1,1,0,0,0,1,1,17
280,1150,0,28,0,1,1,1,0,1,1,5,0,2,27,19,2024/11/17,0,1,1,0,0,0,1,1,17
281,700,0,35,0,1,1,1,0,1,1,5,0,2,27,19,2024/11/17,0,1,1,0,0,0,1,1,17
282,800,0,35,0,1,1,2,0,1,1,5,0,2,27,19,2024/11/6,0,1,1,0,0,0,1,1,17
283,900,0,18,0,1,1,2,0,0,1,4,1,2,27,239,2024/12/1,1,1,1,1,1,1,1,1,31
284,1050,0,30,0,1,1,2,0,0,1,4,1,2,27,239,2024/12/1,1,1,1,1,1,1,1,1,31
285,880,0,20,0,0,1,2,0,1,0,4,1,2,27,1004,2024/11/30,1,1,1,0,1,1,1,1,28
286,1000,0,30,0,0,0,3,0,1,1,4,1,2,27,1352,2024/11/29,1,1,1,0,1,1,1,0,21
287,550,0,15,0,0,0,2,0,1,1,4,1,2,27,1352,2024/11/29,1,1,1,0,1,1,1,0,21
288,700,0,24,1,0,0,2,0,1,1,5,1,3,25,1384,2024/11/10,1,1,1,0,0,1,1,0,21
289,1050,0,25,1,1,0,2,0,1,1,5,1,3,27,1384,2024/11/24,1,1,1,0,0,1,1,0,21
290,600,0,15,1,0,0,3,0,1,1,5,0,2,25,1385,2024/12/3,1,0,1,0,1,1,1,1,25
291,990,0,30,1,0,0,3,0,1,0,5,0,2,27,1385,2024/11/6,1,1,1,1,1,1,1,0,27
292,900,0,20,1,0,0,2,0,1,1,5,1,2,25,1363,2024/11/21,1,1,1,1,1,1,1,1,31
293,600,0,20,1,0,1,1,0,1,1,4,1,2,27,1494,2024/12/3,1,0,1,0,1,1,1,1,22
294,699,0,18,1,1,0,1,0,1,1,3,1,2,27,68,2024/12/1,1,1,1,1,1,1,1,1,31
295,600,0,16,1,1,0,3,0,1,1,5,1,3,0,68,2024/11/29,0,1,1,0,0,0,1,0,13
296,1200,0,28,1,1,1,3,0,1,1,5,1,3,27,68,2024/11/29,1,1,1,0,0,1,1,0,21
